society_id,property_id,sdate,edate,bill_id,amount,totalamount,addbyid,status
2,3,1/4/2014,1/5/2014,1,500,500,2,1
2,3,1/4/2014,1/5/2014,2,650,650,2,1
2,3,1/4/2014,1/5/2014,4,800,800,2,1
2,3,1/4/2014,1/5/2014,5,950,950,2,1
2,3,1/4/2014,1/5/2014,6,1100,1100,2,1
2,3,1/4/2014,1/5/2014,7,1250,1250,2,1
2,3,1/4/2014,1/5/2014,8,1400,1400,2,1
2,3,1/4/2014,1/5/2014,9,1550,1550,2,1
2,3,1/4/2014,1/5/2014,10,1700,1700,2,1
2,3,1/4/2014,1/5/2014,22,1850,1850,2,1
2,3,1/4/2014,1/5/2014,23,2000,2000,2,1
2,3,1/4/2014,1/5/2014,24,2150,2150,2,1
2,3,1/4/2014,1/5/2014,25,2300,2300,2,1
2,7,1/4/2014,1/5/2014,1,2450,2450,2,1
2,7,1/4/2014,1/5/2014,2,2600,2600,2,1
2,7,1/4/2014,1/5/2014,4,2750,2750,2,1
2,7,1/4/2014,1/5/2014,5,2900,2900,2,1
2,7,1/4/2014,1/5/2014,6,3050,3050,2,1
2,7,1/4/2014,1/5/2014,7,3200,3200,2,1
2,7,1/4/2014,1/5/2014,8,3350,3350,2,1
2,7,1/4/2014,1/5/2014,9,3500,3500,2,1
2,7,1/4/2014,1/5/2014,10,3650,3650,2,1
2,7,1/4/2014,1/5/2014,22,3800,3800,2,1
2,7,1/4/2014,1/5/2014,23,3950,3950,2,1
2,7,1/4/2014,1/5/2014,24,4100,4100,2,1
2,7,1/4/2014,1/5/2014,25,4250,4250,2,1
2,8,1/4/2014,1/5/2014,1,4400,4400,2,1
2,8,1/4/2014,1/5/2014,2,4550,4550,2,1
2,8,1/4/2014,1/5/2014,4,4700,4700,2,1
2,8,1/4/2014,1/5/2014,5,4850,4850,2,1
2,8,1/4/2014,1/5/2014,6,5000,5000,2,1
2,8,1/4/2014,1/5/2014,7,5150,5150,2,1
2,8,1/4/2014,1/5/2014,8,5300,5300,2,1
2,8,1/4/2014,1/5/2014,9,5450,5450,2,1
2,8,1/4/2014,1/5/2014,10,5600,5600,2,1
2,8,1/4/2014,1/5/2014,22,5750,5750,2,1
2,8,1/4/2014,1/5/2014,23,5900,5900,2,1
2,8,1/4/2014,1/5/2014,24,6050,6050,2,1
2,8,1/4/2014,1/5/2014,25,6200,6200,2,1
